qid,query,docno,text,score,rank
1030303,who is aziz hashim,6271629_0,"Hashim (Arabic: هاشم ‎) is a common male Arabic given name, which signifies breaker of bread.The title Hashim was given to 'Amr al-ʻUlā ibn 'Abd Manaf, as he was generous in providing bread to poor people and travellers.ashim (Arabic: هاشم ‎) is a common male Arabic given name, which signifies breaker of bread.",-0.07582353055477142,10
1030303,who is aziz hashim,3327029_1,Al-Hakim was the second of the Fatimid caliphs to begin his reign in Egypt; al-Aziz was the first of the Fatimid caliphs to do so.,-0.07725895196199417,11
1030303,who is aziz hashim,6939422_2,"In Islamic tradition العزيز (al-'Aziz) is one of the 99 names of Allah.A notable bearer of the name was Al-'Aziz, a 10th-century Fatimid caliph.eaning & History.",-0.24950793385505676,12
1030303,who is aziz hashim,336399_1,"2 Hashim Amla, a South African cricketer of Indian descent.",-0.287911057472229,13
1030303,who is aziz hashim,336399_3,"2 Hashim Amla, a South African cricketer of Indian descent.",-0.287911057472229,14
1030303,who is aziz hashim,8726436_4,Public Profile syed aziz syed hashim --.,-0.3025745749473572,15
1030303,who is aziz hashim,8726430_0,Aziz Hashim believes he knows what franchisors need to attract multi-unit operators like himself.,-0.3310728073120117,16
1030303,who is aziz hashim,6939422_4,In Islamic tradition العزيز (al-'Aziz) is one of the 99 names of Allah.,-0.5074419379234314,17
1030303,who is aziz hashim,1905988_2,In Islamic tradition العزيز (al-'Aziz) is one of the 99 names of Allah.,-0.5327851176261902,18
1030303,who is aziz hashim,8726434_0,"The owner of 10 Rallys burger franchises in Los Angeles, Aziz Hashim, says… (Jay L. Clendenin, Los Angeles…) Fast-food chain Popeyes Louisiana Kitchen has 75 restaurants in Los Angeles, Orange and Riverside counties, and it plans to open 24 more despite the lagging economy.",-0.5625004768371582,19
1030303,who is aziz hashim,8726436_3,3 Public Profile Aziz Hashim 4 --.,-0.5804042816162109,20
1030303,who is aziz hashim,6939427_0,First Meaning: “Al-‘Aziz” is He the like of Whom is none and equal to Whom is none.,-0.715040385723114,21
1030303,who is aziz hashim,6939426_0,"Abdul Aziz (Arabic: عبد العزيز ‎) is a male Muslim given name and in modern usage, surname.",-0.7738969922065735,22
1030303,who is aziz hashim,7284047_1,"Aziz Ismail Ansari, 34, was born February 23, 1983 and is an American actor, comedian, and filmmaker.",-0.8873530626296997,23
1030303,who is aziz hashim,1305520_1,"Hashim may also refer to:he title Hashim was given to 'Amr al-ʻUlā ibn 'Abd Manaf, as he was generous in providing bread to poor people and travellers.",-0.9173202514648438,24
1030303,who is aziz hashim,1305521_1,In Muslim the meaning of the name Hashim is: Name of Prophet Mohammed's grandfather.,-1.4144365787506104,25
1030303,who is aziz hashim,1305521_7,In Muslim the meaning of the name Hashim is: Name of Prophet Mohammed's grandfather.,-1.4268317222595215,26
1030303,who is aziz hashim,6939427_3,This is the first meaning.Second Meaning: “Al-‘Aziz” is the One Who overpowers and is never overpowered.e is Unique and nothing is like Him.,-2.802969217300415,27
1030303,who is aziz hashim,336399_4,"3 Ahmed Amla, a South African cricketer and brother of Hashim.",-3.1464784145355225,28
1030303,who is aziz hashim,6939424_0,"Therefore, the first meaning of Allah’s Beautiful Name “Al-‘Aziz” is: the One the like of Whom is nothing, rival to Whom is none, and equal to Whom is nothing.",-3.388535976409912,29
1030303,who is aziz hashim,6939425_0,"There is also a very delicate fourth meaning, which believers need to understand most of all, namely that “Al-‘Aziz” is: the One Who grants power and honor to His slaves.",-3.5039501190185547,30
1030303,who is aziz hashim,2488127_0,"There was going to be a character named Aziz, son of Aladdin and Jasmine, scene in the movie, but for some reason, he was cut out.",-3.563533067703247,31
1030303,who is aziz hashim,8726433_3,His praise extends to Hashim’s chops as a restaurant operator.,-3.7361507415771484,32
1030303,who is aziz hashim,8726432_0,Azim Premji.,-4.095763683319092,33
1030303,who is aziz hashim,1451848_0,"Dr. Abdul Aziz is a Rheumatology Specialist in Kissimmee, Florida.",-4.306641101837158,34
1030303,who is aziz hashim,3302249_0,"Instant movie mogul, Red Granite’s Riza Aziz, has purchased a secret Hollywood mansion in the most expensive part of Beverly Hills overlooking LA.",-4.505434036254883,35
1030303,who is aziz hashim,1905988_3,"A notable bearer of the name was Al-'Aziz, a 10th-century Fatimid caliph.",-4.824000358581543,36
1030303,who is aziz hashim,1492373_0,"Hampshire police confirmed the dead terrorist's stepmother Rajaa Hashim, his sister, Sana bin Laden, and his brother-in-law, Zuhair Hashim, were all killed.",-4.8405914306640625,37
1030303,who is aziz hashim,336399_2,"3 Ahmed Amla, a South African cricketer and brother of Hashim.mla may refer to: 1 Indian gooseberry, called amla in Hindi.",-5.010227203369141,38
1030303,who is aziz hashim,7284047_0,Aziz Ansari is a stand-up comedian and actor Who is Aziz Ansari?,-5.063562393188477,39
1030303,who is aziz hashim,1305521_0,Muslim Meaning: The name Hashim is a Muslim baby name.,-5.184997081756592,40
1030303,who is aziz hashim,1905988_0,"AZIZ عزیز m Arabic, Persian, Urdu, Uzbek.",-5.574335098266602,41
1030303,who is aziz hashim,6939425_4,Second Meaning: “Al-‘Aziz” is the One Who overpowers and is never overpowered.,-5.938951015472412,42
1030303,who is aziz hashim,1305521_6,"People with this name have a deep inner desire to use their abilities in leadership, and to have personal independence.uslim Meaning: The name Hashim is a Muslim baby name.",-6.099170207977295,43
1030303,who is aziz hashim,6939424_4,Second Meaning: “Al-‘Aziz” is the One Who overpowers and is never overpowered.,-6.102747917175293,44
1030303,who is aziz hashim,6939427_6,Second Meaning: “Al-‘Aziz” is the One Who overpowers and is never overpowered.,-6.215241432189941,45
1030303,who is aziz hashim,3302249_1,"Sarawak Report has established that 36 year old Mr Aziz, who earlier spent some three years working in London for HSBC, purchased 912 N Hillcrest Road for $17.5million in September 2010.",-6.286470890045166,46
1030303,who is aziz hashim,3327029_0,We do know that al-Hakim was Caliph when ibn al-Haytham reached Egypt.,-6.4151530265808105,47
1030303,who is aziz hashim,8726429_0,"The crew at NRD Holdings, left to right: Karim Dobani, Brianna Williams, Lilo Miller, Andy Bhayani, Andy Polan, Aziz Hashim, Monty Lech, Shana Gonzales and Danyelle Washington.",-6.4312744140625,48
1030303,who is aziz hashim,6939428_0,"Aziz is an uncommon first name for men but a very popular surname for all people (#6604 out of 150436, Top 4%).",-6.594536304473877,49
1030303,who is aziz hashim,6222298_1,"It derives its name from Hashim ibn Abd Manaf, the great-grandfather of Muhammad, and along with the Banu Abd Shams, Banu Al-Muttalib, and Banu Nawfal clans comprises the Banu Abd al-Manaf section of the Quraysh.The House of Abdul-Muttalib of Banu Hashim comprised nobility in pre-Islamic Mecca.his makes Banu Hashim both an Ishmaelite and Israelite tribe.",-6.771254062652588,50
1030303,who is aziz hashim,3327029_2,Al-Aziz became Caliph in 975 on the death of his father al-Mu'izz.,-6.888407230377197,51
1030303,who is aziz hashim,7168325_3,"HollywoodLife.com has reached out to Aziz’s reps for comment on these claims, but we have not received a response at this time.",-7.332614898681641,52
1030303,who is aziz hashim,8726429_1,"Bhayani, the company’s CFO, says “it’s intellectually challenging” to work for Hashim.",-7.444708824157715,53
1030303,who is aziz hashim,6939426_1,"It is built from the Arabic words Abd, al-and Aziz.The name means servant of the Almighty, Al-Azīz being one of the names of God in the Qur'an, which give rise to the Muslim theophoric names.bdul Aziz (Arabic: عبد العزيز ‎) is a male Muslim given name and in modern usage, surname.",-7.599181652069092,54
1030303,who is aziz hashim,5285789_0,"Omar Hashim Epps was born on July 20, 1973, in Brooklyn, New York.",-7.782472133636475,55
1030303,who is aziz hashim,5285789_2,"Omar Hashim Epps was born on July 20, 1973, in Brooklyn, New York.",-7.852694988250732,56
1030303,who is aziz hashim,2488127_1,"Coincidentally, there was also a character named Aziz in the Aladdin (1994) TV Series.",-7.907749176025391,57
1030303,who is aziz hashim,5824363_0,"One of the attendees was a boy named Tariq Aziz, who had volunteered to learn photography to begin documenting drone strikes near his home.",-8.425642013549805,58
1030303,who is aziz hashim,6054027_0,AZIZ ANSARI BURIED ALIVE.,-8.472726821899414,59
1030303,who is aziz hashim,6939428_2,"(2014 Birth Statistics).ziz is an uncommon first name for men but a very popular surname for all people (#6604 out of 150436, Top 4%).",-8.546228408813477,60
1030303,who is aziz hashim,6222298_0,"Banu Hashim is one of the clans of the Quraysh tribe, and is an Adnanite tribe.",-8.564655303955078,61
1030303,who is aziz hashim,8726432_2,He is informally known as the Czar of the Indian IT Industry.,-8.571531295776367,62
1030303,who is aziz hashim,7970461_1,"Tariq aziz 13,289 views",-8.5840425491333,63
1030303,who is aziz hashim,6054027_1,"Aziz Ansari headlines his third standup special, where he shares his uniquely hilarious perspective on fears of adulthood, babies, marriage, and more.",-8.614026069641113,64
1030303,who is aziz hashim,1305528_1,"Kreatif forms: Harshim, Hayshim, Heshim.",-8.725859642028809,65
1030303,who is aziz hashim,7168325_0,Aziz Ansari has been accused by an anonymous woman of pressuring her to perform oral sex on him.,-8.955817222595215,66
1030303,who is aziz hashim,6222298_3,"Members of this clan are referred to as Hashemites, Hussaini or Hasani.",-9.096368789672852,67
1030303,who is aziz hashim,7168318_0,Aziz Ansari denies sexual assault claims.,-9.129875183105469,68
1030303,who is aziz hashim,1305521_3,Generosity.Arabic Meaning: The name Hashim is an Arabic baby name.In Arabic the meaning of the name Hashim is: Destroys eviI.,-9.456524848937988,69
1030303,who is aziz hashim,7284053_0,Who is Aziz Ansari and what are the sexual misconduct allegations against him?,-9.523646354675293,70
1030303,who is aziz hashim,5824363_1,"Within 72 hours of the meeting, Tariq Aziz himself was killed in a U.S. drone strike.",-9.622385025024414,71
1030303,who is aziz hashim,6939428_1,(2000 U.S. Census).Presented below is the birth name popularity of Aziz for boys.Aziz has yet to be ranked in the Top 1000 thus far.,-9.626636505126953,72
1030303,who is aziz hashim,3302255_1,"Supervising the case – Mr Channing Johnson is the husband of NKSFB Director Debra Johnson, who manages Riza Aziz’s business affairs.",-9.772015571594238,73
1030303,who is aziz hashim,6222298_2,"The Islamic prophet, Muhammad was a member of this Arab tribe; his great-grandfather was Hashim ibn Abd Manaf, for whom the tribe is named.",-9.89689826965332,74
1030303,who is aziz hashim,3302255_0,"The law firm Loeb & Loeb, which incorporated Red Granite back in 2010, is in an informed position to advise Mr Aziz on appropriate transparency.",-9.93175983428955,75
1030303,who is aziz hashim,1305528_0,"Hashim /ha-shim/ [2 sylls.] as a boys' name is of Arabic origin, and the meaning of Hashim is crusher of evil.Kreatif forms: Harshim, Hayshim, Heshim.ashim /ha-shim/ [2 sylls.] as a boys' name is of Arabic origin, and the meaning of Hashim is crusher of evil.",-10.307194709777832,76
1030303,who is aziz hashim,2563261_0,Are Abd Al Aziz Ibn Saud and King Faisal of Saudi Arabia the same person?,-10.342703819274902,77
1030303,who is aziz hashim,6764572_1,"Dilip Kumar, Kavita Krishnamurthy, Mohammed Aziz.",-10.514629364013672,78
1030303,who is aziz hashim,7284050_0,"Aziz Ansari became the latest name to trend for all the wrong reasons this week, when a writer at blog babe.net interviewed a female photographer they identify as “Grace,” who claims a date with him “turned into the worst night of my life.”",-10.542642593383789,79
1030303,who is aziz hashim,7168325_2,"An anonymous woman has come forward with accusations of sexual misconduct against Master of None star Aziz Ansari, 34.",-10.761698722839355,80
1030303,who is aziz hashim,1815707_0,First part of compound Arabic names beginning with عبد ال ('Abd al) meaning servant of the (such as عبد العزيز ('Abd al-'Aziz) servant of the powerful).irst part of compound Arabic names beginning with عبد ال ('Abd al) meaning servant of the (such as عبد العزيز ('Abd al-'Aziz) servant of the powerful).,-10.94440746307373,81
1030303,who is aziz hashim,1305521_8,Old Arabic name.,-11.06746768951416,82
1030303,who is aziz hashim,1305521_2,Old Arabic name.,-11.07832145690918,83
1030303,who is aziz hashim,8230659_0,"Muawiya is known as the Kalifah who condoned the cursing of Ali bin Abu Talib (r) in public, a practice abandoned fifty years later by the Caliph Omar bin Abdel Aziz (719).",-11.144120216369629,84
1030303,who is aziz hashim,8230659_1,"Muawiya is known as the Kalifah who condoned the cursing of Ali bin Abu Talib (r) in public, a practice abandoned fifty years later by the Caliph Omar bin Abdel Aziz (719).",-11.144120216369629,85
1030303,who is aziz hashim,5824363_2,He was 16 years old.,-11.184174537658691,86
1030303,who is aziz hashim,309441_0,Virat Kohli is a better player than Hashim Amla as far as cricket is concerned.Virat Kohli is a better cricketer and a player than Hashim Amla.,-11.210402488708496,87
1030303,who is aziz hashim,7168318_1,"Fox411: Aziz Ansari responds to accusation of sexual assault, says sex was consensual.",-11.216536521911621,88
1030303,who is aziz hashim,1451848_1,He graduated with honors in 1989.,-11.251947402954102,89
1030303,who is aziz hashim,4930087_0,"They announced that more than 450 children, who were abducted from north and South Kordofan States, are currently in military training camps that are under supervision of the outlaw Abdul-Aziz Al-Hillo himself and being run under tight security measures.",-11.285798072814941,90
1030303,who is aziz hashim,8726429_2,“It’s his network.,-11.295105934143066,91
1030303,who is aziz hashim,6764572_0,"Aye Sanam Tere Liye Dilip Kumar, Kavita Krishnamurthy, Mohammed Aziz.",-11.321206092834473,92
1030303,who is aziz hashim,6054027_2,"Ansari’s look at life on the cusp of 30 years old is smart, unfiltered, and hysterical.",-11.364923477172852,93
1030303,who is aziz hashim,3738183_1,The internet is blowing up with speculation about the Aziz Ansari allegation posted in Babe.,-11.376298904418945,94
1030303,who is aziz hashim,7284047_2,He began his career performing stand-up comedy in New York City in mid-2000 while attending New York University.,-11.380362510681152,95
1030303,who is aziz hashim,8726437_1,"He is the Founder and Managing Partner of NRD Capital (NRD), the first business fund both sponsored and managed by a former multi-unit franchisee.",-11.479722023010254,96
1030303,who is aziz hashim,6939426_2,"It is built from the Arabic words Abd, al-and Aziz.",-11.525081634521484,97
1030303,who is aziz hashim,3234728_0,"The truth behind the picture, which was appropriated by people on social networks this week to reflect the tragic situation in Syria, was unearthed by Harald Doornbos, who interviewed the photographer Abdul Aziz al Otaibi on his blog.",-11.61302375793457,98
1030303,who is aziz hashim,8726433_2,"He’s extraordinarily articulate, and as a result he’s able to be very effective in a leadership capacity.”",-11.670634269714355,99
1030303,who is aziz hashim,3302257_1,"On his death, the mantle of Caliphate fell upon Umar Bin Abdul Aziz who reluctantly accepted it.",-11.920551300048828,100
1030303,who is aziz hashim,6939427_1,He is Unique and nothing is like Him.,-11.951909065246582,101
1030303,who is aziz hashim,6939428_3,(2000 U.S. Census).,-12.021302223205566,102
1030303,who is aziz hashim,3302257_0,The Umayyad Caliph Sulaiman Bin Abdul Malik who had great respect for Umar Bin Abdul Aziz nominated him as his successor.,-12.038808822631836,103
1030303,who is aziz hashim,8726433_1,He’s very balanced.,-12.106059074401855,104
1030303,who is aziz hashim,6939425_1,This Name belongs to Names of “Al-Af’al” (i.e. Names that denote Allah’s Acts).e is Unique and nothing is like Him.,-12.226460456848145,105
1030303,who is aziz hashim,6939422_1,"Means powerful, respected, beloved, derived from Arabic عزّ ('azza) meaning to be powerful or to be cherished.",-12.246875762939453,106
1030303,who is aziz hashim,6939422_3,"Means powerful, respected, beloved, derived from Arabic عزّ ('azza) meaning to be powerful or to be cherished.",-12.246875762939453,107
1030303,who is aziz hashim,6939427_2,"This Name is attributed only to Allah, the One and Only, the like of Whom there is nothing and equal to Whom is nothing.",-12.277922630310059,108
1030303,who is aziz hashim,6939427_4,"This Name is attributed only to Allah, the One and Only, the like of Whom there is nothing and equal to Whom is nothing.",-12.277922630310059,109
1030303,who is aziz hashim,6939424_2,"This Name is attributed only to Allah, the One and Only, the like of Whom there is nothing and equal to Whom is nothing.",-12.281858444213867,110
1030303,who is aziz hashim,6939425_2,"This Name is attributed only to Allah, the One and Only, the like of Whom there is nothing and equal to Whom is nothing.",-12.303443908691406,111
1030303,who is aziz hashim,6939422_0,Meaning & History.,-12.307998657226562,112
1030303,who is aziz hashim,6939424_1,This Name is one of Allah’s Names of Tanzeeh (i.e. Names that denote His being free from any anthropomorphic elements).e is Unique and nothing is like Him.,-12.366250991821289,113
1030303,who is aziz hashim,8726436_0,Share on LinkedInShare on FacebookShare on TwitterShare on Google+.,-12.366744041442871,114
1030303,who is aziz hashim,1305521_9,Generosity.,-12.40591049194336,115
1030303,who is aziz hashim,5285789_1,"An only child, he was raised by his mother, Bonnie Epps, a lifelong educator who advanced from teacher to principal to school superintendent.arly Life.",-12.419839859008789,116
1030303,who is aziz hashim,2699097_1,1987) Children: Riza Shahriz Abdul Aziz Azrene Soraya Abdul Aziz Nooryana Najwa Mohd Najib Nor Ashman Mohd Najib: Parents: Mansor Katas Fatimah Keda: Alma mater: Tunku Kurshiah College,-12.48715877532959,117
1030303,who is aziz hashim,7168325_1,Read the new claims here.,-12.49365234375,118
1030303,who is aziz hashim,5824363_3,His 12-year-old cousin was also killed.,-12.556771278381348,119
1030303,who is aziz hashim,1905988_1,"Means powerful, respected, beloved, derived from Arabic عزّ ('azza) meaning to be powerful or to be cherished.",-12.562458038330078,120
1030303,who is aziz hashim,6764572_2,"05:16 Add to playlist Add to queue Share Download Singers Dilip Kumar, Kavita Krishnamurthy, Mohammed Aziz.",-12.645487785339355,121
1030303,who is aziz hashim,1305521_5,Expression Number: 4.,-12.662392616271973,122
1030303,who is aziz hashim,8441139_3,3 Fig. 5—Pipe roughness (after Govier and Aziz).,-12.67163372039795,123
1030303,who is aziz hashim,3738183_0,Why Didn’t She Just Say No To Aziz Ansari?,-12.675954818725586,124
1030303,who is aziz hashim,8441139_2,2 Fig. 4—Newtonian fluid friction factor (after Govier and Aziz).,-12.749076843261719,125
1030303,who is aziz hashim,8726430_1,"Now he’s selling off his stores, once numbering 60, and will launch what he calls the first private equity fund owned by franchisees.",-12.783537864685059,126
1030303,who is aziz hashim,5285789_3,"An only child, he was raised by his mother, Bonnie Epps, a lifelong educator who advanced from teacher to principal to school superintendent.",-12.820100784301758,127
1030303,who is aziz hashim,1492373_3,She is thought to have died in a airplane crash in Hampshire yesterday.,-12.821890830993652,128
1030303,who is aziz hashim,3738183_2,People are desperately seeking to define it.,-12.880393028259277,129
1030303,who is aziz hashim,7970461_0,Shame On You Father True Story In English With Urdu Translation byTariq Aziz - Duration: 17:40.,-12.913801193237305,130
1030303,who is aziz hashim,2563261_1,HELP?!!!?,-13.062880516052246,131
1030303,who is aziz hashim,6939424_3,This is the first meaning.,-13.067609786987305,132
1030303,who is aziz hashim,6939425_3,This is the first meaning.,-13.068123817443848,133
1030303,who is aziz hashim,8726435_2,"He serves as the Chief Executive Officer of NRD Partners I, L.P. He founded NRD Capital Management in 2014.",-13.107234954833984,134
1030303,who is aziz hashim,6054027_3,Watch Trailer Download or Buy.,-13.146276473999023,135
1030303,who is aziz hashim,6939427_5,This is the first meaning.,-13.188300132751465,136
1030303,who is aziz hashim,8726430_2,The goal is to buy brands and re-make them the right way.,-13.251242637634277,137
1030303,who is aziz hashim,705402_0,"The Faisal Mosque was conceived as the National Mosque of Pakistan and named after the late King Faisal bin Abdul-Aziz of Saudi Arabia, who supported and financed the project.",-13.287763595581055,138
1030303,who is aziz hashim,8441139_4,4 Fig. 6—Pseudoplastic friction factor vs. Reynolds number (Govier and Aziz).,-13.39405345916748,139
1030303,who is aziz hashim,7284053_1,We take a look at the life and career of the Golden Globe winner By Joanne Kavanagh,-13.495014190673828,140
1030303,who is aziz hashim,1492373_2,"1 Killed: This image, which has been widely circulated online, is believed to show Sana bin Laden, the half-sister of Osama, sitting on a plane.",-13.517797470092773,141
1030303,who is aziz hashim,1492373_1,The plane's Jordanian pilot also died in the crash.,-13.563336372375488,142
1030303,who is aziz hashim,1305521_4,SoulUrge Number: 1.,-13.751382827758789,143
1030303,who is aziz hashim,5285789_4,Epps proved a multi-talented child whose first love was writing.,-13.802047729492188,144
1030303,who is aziz hashim,8441139_1,1 Fig. 3—Flow loop experimental data.,-13.954855918884277,145
1030303,who is aziz hashim,336399_0,"Amla may refer to: 1 Indian gooseberry, called amla in Hindi.",-14.033772468566895,146
1030303,who is aziz hashim,2699097_0,"Rosma binti Mansor 10 December 1951 (age 66) Kuala Pilah, Negeri Sembilan, Federation of Malaya (now Malaysia) Spouse(s) Abdul Aziz Nong Chik Najib Razak (m.",-14.094414710998535,147
1030303,who is aziz hashim,8441139_0,Here non-Newtonian fluids usually assume this pseudoplastic friction factor for turbulent flow.,-14.319267272949219,148
1037496,who is rep scalise,7766583_0,"Stephen Joseph Steve Scalise (born October 6, 1965) is the current United States House of Representatives Majority Whip and representative for Louisiana's 1st congressional district, serving since 2008.",-0.007638058625161648,0
1037496,who is rep scalise,3725934_0,"Stephen Joseph Steve Scalise (born October 6, 1965) is the current United States House of Representatives Majority Whip and representative for Louisiana's 1st congressional district, serving since 2008.",-0.007889301516115665,1
1037496,who is rep scalise,4912167_0,Congressman Scalise is a graduate of Louisiana State University.,-0.015099864453077316,2
1037496,who is rep scalise,3725937_0,"Rep. Steve Scalise (R-La.), the House majority whip, acknowledged Monday that he spoke at a gathering hosted by white-supremacist leaders while serving as a state representative in 2002, thrusting a racial controversy into House Republican ranks days before the party assumes control of both congressional chambers.",-0.031106717884540558,3
1037496,who is rep scalise,4187305_0,Congressman Steve Scalise was first elected to Congress in a special election in May of 2008 to represent Louisiana’s First Congressional District in the U.S. House of Representatives.,-0.03625231981277466,4
1037496,who is rep scalise,7766587_1,"Rep. Steve Scalise (R-La.) says he won a three-way race for majority whip because his coalition was united, and says his election is a win for America..",-0.046486273407936096,5
1037496,who is rep scalise,4760914_0,"U.S. Rep. Steve Scalise, of Jefferson, was re-elected as expected Thursday to the No. 3 position — majority whip — in the House’s ruling Republican hierarchy.",-0.04841028153896332,6
1037496,who is rep scalise,7287404_0,"The current majority whip in the House of Representatives is Steve Scalise, who is a member of the Republican Party.",-0.05214618146419525,7
1037496,who is rep scalise,4174377_0,"House Republican leadership is standing by Rep. Steve Scalise, the No. 3-ranking House Republican, in the wake of a firestorm of criticism surrounding his 2002 speech to a white supremacist group.",-0.06013386324048042,8
1037496,who is rep scalise,4760912_2,Scalise was first elected to the House in a 2008 special election to fill the vacancy caused by the resignation of Rep. Bobby Jindal.,-0.06675419211387634,9
1037496,who is rep scalise,4912167_2,Scalise is a former systems engineer.,-0.08171075582504272,10
1037496,who is rep scalise,4912160_2,"On June 19, 2014, Scalise was elected by his Republican colleagues to serve as Majority Whip of the United States House of Representatives.",-0.10431911051273346,11
1037496,who is rep scalise,7766584_0,"Scalise, 49, who ascended to the House GOP’s third-ranking post this year, confirmed through an adviser that he once appeared at a convention of the European-American Unity and Rights Organization, or EURO.",-0.12627831101417542,12
1037496,who is rep scalise,2725825_0,"Scalise, 51, is the House majority whip.",-0.12717676162719727,13
1037496,who is rep scalise,7766583_3,"On June 19, 2014, Scalise was elected by his Republican colleagues to serve as Majority Whip of the United States House of Representatives.",-0.13573117554187775,14
1037496,who is rep scalise,4187309_0,"Washington, D.C. – House Majority Whip Steve Scalise (R-La.) issued the below statement following the Obama administration's release of 15 terrorists from Guantanamo Bay prison.",-0.1398584246635437,15
1037496,who is rep scalise,4187304_1,Welcome to the on-line office for Congressman Steve Scalise.,-0.149370938539505,16
1037496,who is rep scalise,2725828_2,"“Congressman Scalise is a friend and a very good friend,” Trump said in the White House address.",-0.23668988049030304,17
1037496,who is rep scalise,8196479_1,"At least five people were wounded in the Wednesday morning shooting, including Scalise, an aide to another Republican congressman and two U.S. Capitol Police officers.",-0.28406989574432373,18
1037496,who is rep scalise,5927420_2,"In 1999, then-Louisiana state Rep. Steve Scalise voted against implementing and later mandating the federal Martin Luther King holiday in his state.",-0.38828060030937195,19
1037496,who is rep scalise,4187303_1,"In the U.S. House of Representatives, Scalise serves the needs of the residences of his District which includes all or parts of Jefferson, Lafourche, Orleans, St. Bernard, St. Tammany, Tangipahoa and Terrebonne Parishes.",-0.3917226791381836,20
1037496,who is rep scalise,4912163_0,"In the U.S. House of Representatives, Scalise serves the needs of the residences of his District which includes all or parts of Jefferson, Lafourche, Orleans, Plaquemines, St. Bernard, St. Tammany, Tangipahoa and Terrebonne Parishes.",-0.3946225345134735,21
1037496,who is rep scalise,3725934_2,"Prior to his congressional tenure, Scalise served for four months in the Louisiana State Senate and twelve years in the Louisiana House of Representatives.",-0.5619446039199829,22
1037496,who is rep scalise,3725931_1,"In his Weekly Republican Address to the American people, Scalise discussed the importance of American energy, a critical industry that President Obama has been waging a full-fledged war against since day one of his Administration.",-0.6345250010490417,23
1037496,who is rep scalise,4760906_0,"BETTER TO BE SAFE — Scalise airing early reelection ads,” by Campaign Pro’s Scott Bland: “House Majority Whip Steve Scalise began airing early, unannounced campaign ads in his Louisiana district last week, two years after rebellious Republican primary voters ambushed former Majority Leader Eric Cantor and derailed his career.",-0.6371636390686035,24
1037496,who is rep scalise,4912160_1,"Prior to his congressional tenure, Scalise served for four months in the Louisiana State Senate and twelve years in the Louisiana House of Representatives.",-0.6390479803085327,25
1037496,who is rep scalise,7766585_1,"Two senators criticized Louisiana Rep. Steve Scalise's (R) 2002 speech to a white supremacist group on Sunday, but neither called for the incoming House Majority Whip to step down.",-0.6420559287071228,26
1037496,who is rep scalise,7766583_2,"Prior to his congressional tenure, Scalise served for four months in the Louisiana State Senate and twelve years in the Louisiana House of Representatives.",-0.6558892130851746,27
1037496,who is rep scalise,4187304_0,Contact Congressman Scalise.,-0.762578547000885,28
1037496,who is rep scalise,3725932_1,"In a statement, Scalise’s spokeswoman, Moira Bagley Smith, emphasized that the then-state lawmaker was unaware at the time of the group’s ideology and mission.",-0.9942536950111389,29
1037496,who is rep scalise,4905511_0,"Former Ku Klux Klan leader David Duke said Wednesday that he was considering running against Rep. Steve Scalise (R-La.) as the congressman tries to distance himself from an appearance he made at a conference hosted by Duke's white supremacist group more than a decade ago.e got elected on false pretenses, Duke said.",-1.169327974319458,30
1037496,who is rep scalise,4187303_2,Scalise is married to the former Jennifer Letulle.,-1.3341714143753052,31
